Comunidades y Ciudades Autónomas;Nivel de satisfacción;Total
Total Nacional;De 0 a 4;14,5
Total Nacional;De 5 a 6;25,6
Total Nacional;De 7 a 8;41,2
Total Nacional;De 9 a 10;18,8
Total Nacional;Valoración media;6,6
Andalucía;De 0 a 4;21,4
Andalucía;De 5 a 6;27
Andalucía;De 7 a 8;33
Andalucía;De 9 a 10;18,6
Andalucía;Valoración media;6,3
Aragón;De 0 a 4;14,3
Aragón;De 5 a 6;24,5
Aragón;De 7 a 8;42,1
Aragón;De 9 a 10;19,1
Aragón;Valoración media;6,7
Asturias, Principado de;De 0 a 4;4,8
Asturias, Principado de;De 5 a 6;15,1
Asturias, Principado de;De 7 a 8;49,8
Asturias, Principado de;De 9 a 10;30,3
Asturias, Principado de;Valoración media;7,6
Balears, Illes;De 0 a 4;15,3
Balears, Illes;De 5 a 6;21,6
Balears, Illes;De 7 a 8;37
Balears, Illes;De 9 a 10;26
Balears, Illes;Valoración media;6,7
Canarias;De 0 a 4;22
Canarias;De 5 a 6;31,1
Canarias;De 7 a 8;36,4
Canarias;De 9 a 10;10,5
Canarias;Valoración media;5,9
Cantabria;De 0 a 4;10,5
Cantabria;De 5 a 6;19,2
Cantabria;De 7 a 8;47,7
Cantabria;De 9 a 10;22,5
Cantabria;Valoración media;7,1
Castilla y León;De 0 a 4;6,7
Castilla y León;De 5 a 6;23,9
Castilla y León;De 7 a 8;48,5
Castilla y León;De 9 a 10;20,9
Castilla y León;Valoración media;7,1
Castilla - La Mancha;De 0 a 4;10,6
Castilla - La Mancha;De 5 a 6;22,4
Castilla - La Mancha;De 7 a 8;46,1
Castilla - La Mancha;De 9 a 10;20,8
Castilla - La Mancha;Valoración media;6,9
Cataluña;De 0 a 4;7,8
Cataluña;De 5 a 6;27,6
Cataluña;De 7 a 8;47,4
Cataluña;De 9 a 10;17,1
Cataluña;Valoración media;6,9
Comunitat Valenciana;De 0 a 4;13,8
Comunitat Valenciana;De 5 a 6;25,9
Comunitat Valenciana;De 7 a 8;41,3
Comunitat Valenciana;De 9 a 10;19
Comunitat Valenciana;Valoración media;6,7
Extremadura;De 0 a 4;22,3
Extremadura;De 5 a 6;27,9
Extremadura;De 7 a 8;36,1
Extremadura;De 9 a 10;13,8
Extremadura;Valoración media;6
Galicia;De 0 a 4;24,4
Galicia;De 5 a 6;29,6
Galicia;De 7 a 8;34,4
Galicia;De 9 a 10;11,6
Galicia;Valoración media;6
Madrid, Comunidad de;De 0 a 4;13,4
Madrid, Comunidad de;De 5 a 6;23,6
Madrid, Comunidad de;De 7 a 8;42,4
Madrid, Comunidad de;De 9 a 10;20,6
Madrid, Comunidad de;Valoración media;6,8
Murcia, Región de;De 0 a 4;22,7
Murcia, Región de;De 5 a 6;30,4
Murcia, Región de;De 7 a 8;34,4
Murcia, Región de;De 9 a 10;12,5
Murcia, Región de;Valoración media;6
Navarra, Comunidad Foral de;De 0 a 4;4,2
Navarra, Comunidad Foral de;De 5 a 6;14
Navarra, Comunidad Foral de;De 7 a 8;51,8
Navarra, Comunidad Foral de;De 9 a 10;30
Navarra, Comunidad Foral de;Valoración media;7,6
País Vasco;De 0 a 4;7,5
País Vasco;De 5 a 6;22,7
País Vasco;De 7 a 8;45,5
País Vasco;De 9 a 10;24,4
País Vasco;Valoración media;7,3
Rioja, La;De 0 a 4;5,2
Rioja, La;De 5 a 6;20,8
Rioja, La;De 7 a 8;48,6
Rioja, La;De 9 a 10;25,4
Rioja, La;Valoración media;7,3
Ceuta;De 0 a 4;67,9
Ceuta;De 5 a 6;7,4
Ceuta;De 7 a 8;17,4
Ceuta;De 9 a 10;7,2
Ceuta;Valoración media;3,2
Melilla;De 0 a 4;24,6
Melilla;De 5 a 6;35,1
Melilla;De 7 a 8;28
Melilla;De 9 a 10;12,3
Melilla;Valoración media;5,7
